"OrphaCode","Name","DisorderType","DisorderGroup","ICD10_Reference","ICD10_MappingRelation"
"578","Mucolipidosis type IV","Disease","Disorder","E75.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166286","Porokeratotic eccrine ostial and dermal duct nevus","Disease","Disorder","Q82.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"577","Mucolipidosis type III","Disease","Disorder","E77.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166291","Dirofilariasis","Disease","Disorder","B74.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166295","Benign non-familial infantile seizures","Clinical group","Group of disorders",NA,NA
"771","NON RARE IN EUROPE: Ulcerative colitis","Disease","Disorder",NA,NA
"166308","Benign infantile focal epilepsy with midline spikes and waves during sleep","Disease","Disorder","G40.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166305","Benign infantile seizures associated with mild gastroenteritis","Disease","Disorder","G40.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2912","Poliomyelitis","Disease","Disorder","A80.4","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"166302","Benign partial epilepsy with secondarily generalized seizures in infancy","Disease","Disorder","G40.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166299","Benign partial epilepsy of infancy with complex partial seizures","Disease","Disorder","G40.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"796","Sandhoff disease","Disease","Disorder","E75.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166409","Photosensitive epilepsy","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"801","Scleroderma","Clinical group","Group of disorders",NA,NA
"166311","Benign partial infantile seizures","Clinical group","Group of disorders",NA,NA
"461","Recessive X-linked ichthyosis","Disease","Disorder","Q80.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166421","Orgasm-induced seizures","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"856","NON RARE IN EUROPE: Tourette syndrome","Disease","Disorder","F95.2","E (Exact mapping: the two concepts are equivalent)"
"166418","Eating reflex epilepsy","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166415","Audiogenic seizures","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"584","Mucopolysaccharidosis type 7","Disease","Disorder","E76.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"825","NON RARE IN EUROPE: Ankylosing spondylitis","Disease","Disorder","M45","E (Exact mapping: the two concepts are equivalent)"
"166412","Hot water reflex epilepsy","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166433","Reading seizures","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166430","Micturation-induced seizures","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"881","Turner syndrome","Malformation syndrome","Disorder","Q96.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"166427","Startle epilepsy","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166424","Thinking seizures","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"95","Friedreich ataxia","Disease","Disorder","G11.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166466","Neurocutaneous syndrome with epilepsy","Category","Group of disorders",NA,NA
"848","Beta-thalassemia","Disease","Disorder","D56.1","E (Exact mapping: the two concepts are equivalent)"
"166469","Chromosomal anomaly with epilepsy as a major feature","Category","Group of disorders",NA,NA
"846","Alpha-thalassemia","Disease","Disorder","D56.0","E (Exact mapping: the two concepts are equivalent)"
"166457","OBSOLETE: Other forms of non-paraneoplastic limbic encephalitis","Category","Group of disorders",NA,NA
"586","Cystic fibrosis","Disease","Disorder","E84.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"166463","Epilepsy syndrome","Category","Group of disorders",NA,NA
"166478","Cerebral malformation with epilepsy","Category","Group of disorders",NA,NA
"262","Duchenne and Becker muscular dystrophy","Clinical group","Group of disorders",NA,NA
"166481","Metabolic diseases with epilepsy","Category","Group of disorders",NA,NA
"166472","Monogenic disease with epilepsy","Category","Group of disorders",NA,NA
"166475","Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes","Category","Group of disorders",NA,NA
"261","Emery-Dreifuss muscular dystrophy","Disease","Disorder","G71.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166490","Infectious disease with epilepsy","Category","Group of disorders",NA,NA
"166484","Inflammatory and autoimmune disease with epilepsy","Category","Group of disorders",NA,NA
"166487","Cerebral diseases of vascular origin with epilepsy","Category","Group of disorders",NA,NA
"550","MELAS","Disease","Disorder","G71.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"269","Facioscapulohumeral dystrophy","Disease","Disorder","G71.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"480","Kearns-Sayre syndrome","Disease","Disorder","H49.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163898","OBSOLETE: Classic paraneoplastic limbic encephalitis","Disease","Disorder",NA,NA
"593","Myofibrillar myopathy","Category","Group of disorders",NA,NA
"163895","OBSOLETE: Paraneoplastic limbic encephalitis","Clinical group","Group of disorders",NA,NA
"163908","OBSOLETE: Limbic encephalitis with LGI1 antibodies","Disease","Disorder",NA,NA
"163903","OBSOLETE: Limbic encephalitis associated with antibodies to cell membrane antigens","Category","Group of disorders",NA,NA
"551","MERRF","Disease","Disorder","G71.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"597","Central core disease","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"607","Nemaline myopathy","Clinical group","Group of disorders",NA,NA
"163892","OBSOLETE: Limbic encephalitis","Clinical group","Group of disorders",NA,NA
"163746","Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"684","Paramyotonia congenita of Von Eulenburg","Disease","Disorder","G71.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163931","Acrodermatitis continua of Hallopeau","Disease","Disorder","L40.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"273","Steinert myotonic dystrophy","Disease","Disorder","G71.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163927","Pustulosis palmaris et plantaris","Disease","Disorder","L40.3","E (Exact mapping: the two concepts are equivalent)"
"163937","X-linked intellectual disability, Najm type","Disease","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163934","Atopic keratoconjunctivitis","Disease","Disorder","H16.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163918","OBSOLETE: Non-paraneoplastic limbic encephalitis","Category","Group of disorders",NA,NA
"163914","OBSOLETE: Limbic encephalitis with nCMAgs antibodies","Disease","Disorder",NA,NA
"163924","OBSOLETE: Non-herpetic acute limbic encephalitis","Disease","Disorder",NA,NA
"614","Thomsen and Becker disease","Disease","Disorder","G71.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163921","Posttransplant acute limbic encephalitis","Particular clinical situation in a disease or syndrome","Disorder","G04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163966","X-linked dominant chondrodysplasia, Chassaing-Lacombe type","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163971","X-linked intellectual disability, Cilliers type","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163976","X-linked intellectual disability, Van Esch type","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163979","X-linked intellectual disability-craniofacioskeletal syndrome","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163953","X-linked intellectual disability, Raymond type","Disease","Disorder",NA,NA
"163956","X-linked intellectual disability, Nascimento type","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163961","X-linked cerebral-cerebellar-coloboma syndrome","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"164004","Middle and/or inner ear anomaly","Category","Group of disorders",NA,NA
"164726","Acute myeloid leukemia and myelodysplastic syndromes related to radiation","Disease","Disorder","D46.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"324","Fabry disease","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163982","X-linked intellectual disability-spastic quadriparesis syndrome","Disease","Disorder",NA,NA
"163985","Hyperekplexia-epilepsy syndrome","Disease","Disorder","G25.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"778","Rett syndrome","Disease","Disorder","F84.2","E (Exact mapping: the two concepts are equivalent)"
"163988","OBSOLETE: Developmental delay-deafness syndrome, Hildebrand type","Malformation syndrome","Disorder",NA,NA
"164001","Rare odontal or periodontal disorder","Category","Group of disorders",NA,NA
"72","Angelman syndrome","Malformation syndrome","Disorder","Q93.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165661","Genetic pancreatic disease","Category","Group of disorders",NA,NA
"307","Juvenile myoclonic epilepsy","Disease","Disorder","G40.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165658","Genetic gastro-esophageal disease","Category","Group of disorders",NA,NA
"165655","Genetic intestinal disease","Category","Group of disorders",NA,NA
"165652","Rare genetic gastroenterological disease","Category","Group of disorders",NA,NA
"1941","Juvenile absence epilepsy","Disease","Disorder","G40.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"892","Von Hippel-Lindau disease","Disease","Disorder","Q85.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"164823","Rare acquired aplastic anemia","Category","Group of disorders",NA,NA
"731","Autosomal recessive polycystic kidney disease","Disease","Disorder","Q61.1","E (Exact mapping: the two concepts are equivalent)"
"164736","Familial advanced sleep-phase syndrome","Disease","Disorder","G47.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"138","CHARGE syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"558","Marfan syndrome","Disease","Disorder","Q87.4","E (Exact mapping: the two concepts are equivalent)"
"165805","Familial mesial temporal lobe epilepsy with febrile seizures","Disease","Disorder","G40.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"803","Amyotrophic lateral sclerosis","Disease","Disorder","G12.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165711","Rare abdominal surgical disease","Category","Group of disorders",NA,NA
"802","NON RARE IN EUROPE: Multiple sclerosis","Disease","Disorder","G35","E (Exact mapping: the two concepts are equivalent)"
"165707","Syndromic urogenital tract malformation","Category","Group of disorders",NA,NA
"100","Ataxia-telangiectasia","Disease","Disorder","G11.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165704","Non-syndromic urogenital tract malformation","Category","Group of disorders",NA,NA
"733","Familial adenomatous polyposis","Disease","Disorder","D12.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165961","OBSOLETE: Subcutaneous myiasis","Category","Group of disorders",NA,NA
"399","Huntington disease","Disease","Disorder","G10","E (Exact mapping: the two concepts are equivalent)"
"165955","Wound myiasis","Disease","Disorder","B87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"501","Lafora disease","Disease","Disorder","G40.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165958","Cavitary myiasis","Disease","Disorder","B87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"870","Down syndrome","Malformation syndrome","Disorder","Q90.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"512","Metachromatic leukodystrophy","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166011","Multiple epiphyseal dysplasia, Beighton type","Disease","Disorder",NA,NA
"567","22q11.2 deletion syndrome","Malformation syndrome","Disorder","D82.1","E (Exact mapping: the two concepts are equivalent)"
"166016","Multiple epiphyseal dysplasia, Lowry type","Disease","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"232","Sickle cell anemia","Disease","Disorder","D57.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"165994","Pituitary resistance to thyroid hormone","Disease","Disorder",NA,NA
"536","Systemic lupus erythematosus","Disease","Disorder","M32.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"166002","Multiple epiphyseal dysplasia due to collagen 9 anomaly","Disease","Disorder","Q77.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"534","Oculocerebrorenal syndrome of Lowe","Malformation syndrome","Disorder","E72.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165988","Diazoxide-resistant diffuse hyperinsulinism","Clinical group","Group of disorders",NA,NA
"790","Retinoblastoma","Disease","Disorder","C69.2","E (Exact mapping: the two concepts are equivalent)"
"165991","Exercise-induced hyperinsulinism","Disease","Disorder","E16.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"652","Multiple endocrine neoplasia type 1","Disease","Disorder","D44.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"165985","Diazoxide-sensitive diffuse hyperinsulinism","Clinical group","Group of disorders",NA,NA
"908","Fragile X syndrome","Malformation syndrome","Disorder","Q99.2","E (Exact mapping: the two concepts are equivalent)"
"3099","Rheumatic fever","Disease","Disorder","I00","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"739","Prader-Willi syndrome","Disease","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"47","X-linked agammaglobulinemia","Clinical subtype","Subtype of disorder","D80.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"580","Mucopolysaccharidosis type 2","Disease","Disorder","E76.1","E (Exact mapping: the two concepts are equivalent)"
"579","Mucopolysaccharidosis type 1","Disease","Disorder","E76.0","E (Exact mapping: the two concepts are equivalent)"
"905","Wilson disease","Disease","Disorder","E83.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163209","Non-syndromic cerebral malformation due to abnormal neuronal migration","Category","Group of disorders",NA,NA
"792","X-linked retinoschisis","Malformation syndrome","Disorder","Q14.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163528","OBSOLETE: Acute cutaneous lupus erythematosus","Category","Group of disorders",NA,NA
"383","X-linked mixed deafness with perilymphatic gusher","Clinical subtype","Subtype of disorder",NA,NA
"163525","Subacute cutaneous lupus erythematosus","Disease","Disorder","L93.1","E (Exact mapping: the two concepts are equivalent)"
"827","Stargardt disease","Disease","Disorder","H35.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163582","Rare bacterial infectious disease","Category","Group of disorders",NA,NA
"163531","Chronic cutaneous lupus erythematosus","Clinical group","Group of disorders",NA,NA
"906","Wiskott-Aldrich syndrome","Disease","Disorder","D82.0","E (Exact mapping: the two concepts are equivalent)"
"904","Williams syndrome","Malformation syndrome","Disorder","Q93.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"162521","OBSOLETE: Congenital nasal pyriform aperture stenosis with holoprosencephaly","Malformation syndrome","Disorder",NA,NA
"280","Wolf-Hirschhorn syndrome","Malformation syndrome","Disorder","Q93.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"162516","Isolated congenital nasal pyriform aperture stenosis","Malformation syndrome","Disorder","Q30.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"15","Achondroplasia","Disease","Disorder","Q77.4","E (Exact mapping: the two concepts are equivalent)"
"96","Ataxia with vitamin E deficiency","Disease","Disorder","G11.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"162526","Isolated congenital auditory ossicle malformation","Morphological anomaly","Disorder","Q16.3","E (Exact mapping: the two concepts are equivalent)"
"101","Dentatorubral pallidoluysian atrophy","Disease","Disorder","G11.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"783","Rubinstein-Taybi syndrome","Malformation syndrome","Disorder","Q87.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163649","Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome","Disease","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"631","Non-acquired isolated growth hormone deficiency","Disease","Disorder","E23.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"276","T-B+ severe combined immunodeficiency due to gamma chain deficiency","Disease","Disorder","D81.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163654","Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome","Disease","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"481","Kennedy disease","Disease","Disorder","G12.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664","Ornithine transcarbamylase deficiency","Disease","Disorder","E72.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163668","Spondyloepiphyseal dysplasia, MacDermot type","Malformation syndrome","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163673","Spondyloepiphyseal dysplasia, Byers type","Disease","Disorder",NA,NA
"163662","Spondyloepiphyseal dysplasia, Reardon type","Disease","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"394","Homocystinuria due to cystathionine beta-synthase deficiency","Disease","Disorder","E72.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163665","Spondyloepiphyseal dysplasia tarda, Kohn type","Disease","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"508","Leprechaunism","Malformation syndrome","Disorder","E34.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163591","Rare mycosis","Category","Group of disorders",NA,NA
"436","Hypophosphatasia","Disease","Disorder","E83.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163596","Hb Bart's hydrops fetalis","Clinical subtype","Subtype of disorder","D56.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163585","Rare viral disease","Category","Group of disorders",NA,NA
"429","Hypochondroplasia","Disease","Disorder","Q77.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163588","Rare parasitic disease","Category","Group of disorders",NA,NA
"437","Hypophosphatemic rickets","Clinical group","Group of disorders",NA,NA
"163637","Rare disorder related with pregnancy, childbirth and puerperium","Category","Group of disorders",NA,NA
"104","Leber hereditary optic neuropathy","Disease","Disorder","H47.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163631","Bile acid synthesis defect with cholestasis and malabsorption","Category","Group of disorders",NA,NA
"2182","Hydrocephalus with stenosis of the aqueduct of Sylvius","Clinical subtype","Subtype of disorder","Q03.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163634","Maffucci syndrome","Disease","Disorder","Q78.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163717","Benign familial mesial temporal lobe epilepsy","Disease","Disorder","G40.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163708","Cryptogenic late-onset epileptic spasms","Disease","Disorder","G40.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"636","Neurofibromatosis type 1","Disease","Disorder","Q85.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163703","Febrile infection-related epilepsy syndrome","Disease","Disorder","G40.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"649","Norrie disease","Malformation syndrome","Disorder","H35.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163727","Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome","Disease","Disorder","G40.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163721","Rolandic epilepsy-speech dyspraxia syndrome","Disease","Disorder","G40.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163684","Leukoencephalopathy-dystonia-motor neuropathy syndrome","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163681","CNTNAP2-related developmental and epileptic encephalopathy","Disease","Disorder","Q04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"379","Chronic granulomatous disease","Disease","Disorder","D71","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163678","OBSOLETE: Unclassified spondylometaphyseal dysplasia","Disease","Disorder",NA,NA
"16","Blue cone monochromatism","Disease","Disorder","H53.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163699","Alveolar soft tissue sarcoma","Disease","Disorder","C49.9","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"644","NARP syndrome","Disease","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"637","Full NF2-related schwannomatosis","Disease","Disorder","Q85.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163696","Action myoclonus-renal failure syndrome","Disease","Disorder","G40.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"181","X-linked hypohidrotic ectodermal dysplasia","Etiological subtype","Subtype of disorder","Q82.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
